city_code,date,temp_max,temp_min,temp_avg,temp_range,precip_mm,avg_max_7d,avg_min_7d,avg_max_14d,avg_min_14d,temp_min_ly,temp_max_ly,temp_min_yoy_pct,temp_max_yoy_pct,run_date
BUE,2025-04-30,21.5,13.0,17.2,8.5,0.0,21.5,13.0,21.5,13.0,,,,,2025-11-08
BUE,2025-05-01,19.5,14.8,17.2,4.7,0.0,20.5,13.9,20.5,13.9,,,,,2025-11-08
BUE,2025-05-02,22.9,15.1,19.0,7.8,0.0,21.3,14.3,21.3,14.3,,,,,2025-11-08
BUE,2025-05-03,22.6,13.5,18.0,9.1,0.0,21.6,14.1,21.6,14.1,,,,,2025-11-08
BUE,2025-05-04,24.5,17.0,20.8,7.5,1.8,22.2,14.7,22.2,14.7,,,,,2025-11-08
BUE,2025-05-05,19.4,15.0,17.2,4.4,20.6,21.7,14.7,21.7,14.7,,,,,2025-11-08
BUE,2025-05-06,21.7,17.1,19.4,4.6,8.3,21.7,15.1,21.7,15.1,,,,,2025-11-08
BUE,2025-05-07,21.8,17.4,19.6,4.4,39.9,21.8,15.7,21.7,15.4,,,,,2025-11-08
BUE,2025-05-08,21.3,17.3,19.3,4.0,2.4,22.0,16.1,21.7,15.6,,,,,2025-11-08
BUE,2025-05-09,20.4,12.7,16.5,7.7,0.0,21.7,15.7,21.6,15.3,,,,,2025-11-08
BUE,2025-05-10,19.7,14.1,16.9,5.6,0.0,21.3,15.8,21.4,15.2,,,,,2025-11-08
BUE,2025-05-11,18.2,13.8,16.0,4.4,0.0,20.4,15.3,21.1,15.1,,,,,2025-11-08
BUE,2025-05-12,18.7,13.6,16.2,5.1,0.0,20.3,15.1,20.9,15.0,,,,,2025-11-08
BUE,2025-05-13,20.1,14.9,17.5,5.2,0.0,20.0,14.8,20.9,15.0,,,,,2025-11-08
BUE,2025-05-14,22.1,15.8,19.0,6.3,0.0,20.1,14.6,20.9,15.2,,,,,2025-11-08
BUE,2025-05-15,23.3,18.8,21.0,4.5,0.1,20.4,14.8,21.2,15.4,,,,,2025-11-08
BUE,2025-05-16,22.1,18.9,20.5,3.2,59.2,20.6,15.7,21.1,15.7,,,,,2025-11-08
BUE,2025-05-17,22.3,17.5,19.9,4.8,21.4,21.0,16.2,21.1,16.0,,,,,2025-11-08
BUE,2025-05-18,20.9,12.7,16.8,8.2,14.0,21.4,16.0,20.9,15.7,,,,,2025-11-08
BUE,2025-05-19,14.3,9.1,11.7,5.2,0.6,20.7,15.4,20.5,15.3,,,,,2025-11-08
BUE,2025-05-20,16.2,7.3,11.8,8.9,0.0,20.2,14.3,20.1,14.6,,,,,2025-11-08
BUE,2025-05-21,14.3,8.7,11.5,5.6,0.0,19.1,13.3,19.6,13.9,,,,,2025-11-08
BUE,2025-05-22,14.5,7.6,11.0,6.9,0.0,17.8,11.7,19.1,13.2,,,,,2025-11-08
BUE,2025-05-23,15.0,10.8,12.9,4.2,0.0,16.8,10.5,18.7,13.1,,,,,2025-11-08
BUE,2025-05-24,16.3,12.9,14.6,3.4,0.3,15.9,9.9,18.4,13.0,,,,,2025-11-08
BUE,2025-05-25,17.4,11.8,14.6,5.6,0.4,15.4,9.7,18.4,12.9,,,,,2025-11-08
BUE,2025-05-26,19.1,15.5,17.3,3.6,4.5,16.1,10.7,18.4,13.0,,,,,2025-11-08
BUE,2025-05-27,19.2,12.6,15.9,6.6,25.6,16.5,11.4,18.4,12.9,,,,,2025-11-08
BUE,2025-05-28,12.9,7.3,10.1,5.6,0.0,16.3,11.2,17.7,12.2,,,,,2025-11-08
BUE,2025-05-29,11.5,4.3,7.9,7.2,0.0,15.9,10.7,16.9,11.2,,,,,2025-11-08
BUE,2025-05-30,13.3,5.3,9.3,8.0,0.0,15.7,10.0,16.2,10.2,,,,,2025-11-08
BUE,2025-05-31,16.0,6.2,11.1,9.8,0.0,15.6,9.0,15.8,9.4,,,,,2025-11-08
BUE,2025-06-01,14.6,4.5,9.6,10.1,0.0,15.2,8.0,15.3,8.8,,,,,2025-11-08
BUE,2025-06-02,15.8,7.2,11.5,8.6,0.0,14.8,6.8,15.4,8.7,,,,,2025-11-08
BUE,2025-06-03,15.0,7.9,11.4,7.1,0.0,14.2,6.1,15.4,8.8,,,,,2025-11-08
BUE,2025-06-04,18.0,10.1,14.0,7.9,0.0,14.9,6.5,15.6,8.9,,,,,2025-11-08
BUE,2025-06-05,15.2,7.3,11.2,7.9,0.0,15.4,6.9,15.7,8.8,,,,,2025-11-08
BUE,2025-06-06,16.9,6.7,11.8,10.2,0.0,15.9,7.1,15.8,8.5,,,,,2025-11-08
BUE,2025-06-07,15.8,7.9,11.9,7.9,0.0,15.9,7.4,15.8,8.2,,,,,2025-11-08
BUE,2025-06-08,14.0,7.8,10.9,6.2,0.0,15.8,7.8,15.5,7.9,,,,,2025-11-08
BUE,2025-06-09,11.5,6.1,8.8,5.4,0.0,15.2,7.7,15.0,7.2,,,,,2025-11-08
BUE,2025-06-10,13.4,5.0,9.2,8.4,0.0,15.0,7.3,14.6,6.7,,,,,2025-11-08
BUE,2025-06-11,13.6,9.5,11.6,4.1,0.0,14.3,7.2,14.6,6.8,,,,,2025-11-08
BUE,2025-06-12,15.4,9.7,12.6,5.7,0.0,14.4,7.5,14.9,7.2,,,,,2025-11-08
BUE,2025-06-13,13.5,11.9,12.7,1.6,10.7,13.9,8.3,14.9,7.7,,,,,2025-11-08
BUE,2025-06-14,12.6,10.6,11.6,2.0,14.8,13.4,8.7,14.7,8.0,,,,,2025-11-08
BUE,2025-06-15,13.0,4.3,8.6,8.7,0.0,13.3,8.2,14.6,8.0,,,,,2025-11-08
BUE,2025-06-16,13.7,8.9,11.3,4.8,1.5,13.6,8.6,14.4,8.1,,,,,2025-11-08
BUE,2025-06-17,14.9,10.0,12.4,4.9,0.6,13.8,9.3,14.4,8.3,,,,,2025-11-08
BUE,2025-06-18,15.2,5.3,10.2,9.9,0.0,14.0,8.7,14.2,7.9,,,,,2025-11-08
BUE,2025-06-19,14.6,6.0,10.3,8.6,0.0,13.9,8.1,14.2,7.8,,,,,2025-11-08
BUE,2025-06-20,16.1,7.0,11.6,9.1,0.0,14.3,7.4,14.1,7.9,,,,,2025-11-08
BUE,2025-06-21,14.3,7.5,10.9,6.8,0.0,14.5,7.0,14.0,7.8,,,,,2025-11-08
BUE,2025-06-22,15.1,8.5,11.8,6.6,0.9,14.8,7.6,14.1,7.9,,,,,2025-11-08
BUE,2025-06-23,9.2,3.2,6.2,6.0,2.3,14.2,6.8,13.9,7.7,,,,,2025-11-08
BUE,2025-06-24,12.7,2.2,7.4,10.5,0.0,13.9,5.7,13.8,7.5,,,,,2025-11-08
BUE,2025-06-25,13.5,6.5,10.0,7.0,0.0,13.6,5.8,13.8,7.3,,,,,2025-11-08
BUE,2025-06-26,12.6,3.5,8.0,9.1,0.0,13.4,5.5,13.6,6.8,,,,,2025-11-08
BUE,2025-06-27,13.1,4.8,9.0,8.3,0.0,12.9,5.2,13.6,6.3,,,,,2025-11-08
BUE,2025-06-28,12.5,6.3,9.4,6.2,0.0,12.7,5.0,13.6,6.0,,,,,2025-11-08
BUE,2025-06-29,9.2,4.4,6.8,4.8,0.5,11.8,4.4,13.3,6.0,,,,,2025-11-08
BUE,2025-06-30,5.5,3.2,4.4,2.3,0.0,11.3,4.4,12.8,5.6,,,,,2025-11-08
BUE,2025-07-01,7.2,-0.5,3.4,7.7,0.0,10.5,4.0,12.2,4.8,,,,,2025-11-08
BUE,2025-07-02,7.9,1.0,4.4,6.9,0.0,9.7,3.2,11.7,4.5,,,,,2025-11-08
BUE,2025-07-03,11.5,3.7,7.6,7.8,0.0,9.6,3.3,11.5,4.4,,,,,2025-11-08
BUE,2025-07-04,12.6,6.6,9.6,6.0,0.0,9.5,3.5,11.2,4.4,,,,,2025-11-08
BUE,2025-07-05,12.4,5.6,9.0,6.8,0.0,9.5,3.4,11.1,4.2,,,,,2025-11-08
BUE,2025-07-06,13.8,7.9,10.9,5.9,0.0,10.1,3.9,11.0,4.2,,,,,2025-11-08
BUE,2025-07-07,17.3,10.4,13.8,6.9,1.0,11.8,5.0,11.6,4.7,,,,,2025-11-08
BUE,2025-07-08,14.7,8.8,11.8,5.9,0.0,12.9,6.3,11.7,5.2,,,,,2025-11-08
BUE,2025-07-09,15.5,8.7,12.1,6.8,0.0,14.0,7.4,11.8,5.3,,,,,2025-11-08
BUE,2025-07-10,14.0,10.1,12.0,3.9,0.2,14.3,8.3,11.9,5.8,,,,,2025-11-08
BUE,2025-07-11,16.0,8.5,12.2,7.5,0.0,14.8,8.6,12.2,6.0,,,,,2025-11-08
BUE,2025-07-12,15.0,11.6,13.3,3.4,0.0,15.2,9.4,12.3,6.4,,,,,2025-11-08
BUE,2025-07-13,14.4,9.8,12.1,4.6,0.0,15.3,9.7,12.7,6.8,,,,,2025-11-08
BUE,2025-07-14,13.3,10.0,11.6,3.3,0.0,14.7,9.6,13.3,7.3,,,,,2025-11-08
BUE,2025-07-15,20.8,13.2,17.0,7.6,0.9,15.6,10.3,14.2,8.3,,,,,2025-11-08
BUE,2025-07-16,18.1,11.1,14.6,7.0,21.1,15.9,10.6,15.0,9.0,,,,,2025-11-08
BUE,2025-07-17,11.5,7.7,9.6,3.8,1.4,15.6,10.3,15.0,9.3,,,,,2025-11-08
BUE,2025-07-18,15.4,5.2,10.3,10.2,0.0,15.5,9.8,15.2,9.2,,,,,2025-11-08
BUE,2025-07-19,16.8,7.3,12.0,9.5,0.0,15.8,9.2,15.5,9.3,,,,,2025-11-08
BUE,2025-07-20,16.1,8.7,12.4,7.4,0.0,16.0,9.0,15.6,9.4,,,,,2025-11-08
BUE,2025-07-21,17.2,10.2,13.7,7.0,0.0,16.6,9.1,15.6,9.4,,,,,2025-11-08
BUE,2025-07-22,13.5,10.1,11.8,3.4,0.0,15.5,8.6,15.5,9.4,,,,,2025-11-08
BUE,2025-07-23,10.7,3.9,7.3,6.8,0.0,14.5,7.6,15.2,9.1,,,,,2025-11-08
BUE,2025-07-24,13.9,8.1,11.0,5.8,0.0,14.8,7.6,15.2,9.0,,,,,2025-11-08
BUE,2025-07-25,14.2,10.9,12.6,3.3,8.4,14.6,8.5,15.1,9.1,,,,,2025-11-08
BUE,2025-07-26,13.6,6.8,10.2,6.8,0.0,14.2,8.4,15.0,8.8,,,,,2025-11-08
BUE,2025-07-27,12.4,8.2,10.3,4.2,0.8,13.6,8.3,14.8,8.7,,,,,2025-11-08
BUE,2025-07-28,14.1,8.2,11.1,5.9,0.0,13.2,8.0,14.9,8.5,,,,,2025-11-08
BUE,2025-07-29,12.4,7.7,10.0,4.7,0.0,13.0,7.7,14.3,8.2,,,,,2025-11-08
BUE,2025-07-30,16.4,9.7,13.0,6.7,0.0,13.9,8.5,14.2,8.0,,,,,2025-11-08
BUE,2025-07-31,16.7,12.0,14.4,4.7,0.3,14.3,9.1,14.5,8.4,,,,,2025-11-08
BUE,2025-08-01,19.1,15.1,17.1,4.0,23.2,15.0,9.7,14.8,9.1,,,,,2025-11-08
BUE,2025-08-02,18.6,11.2,14.9,7.4,0.0,15.7,10.3,14.9,9.3,,,,,2025-11-08
BUE,2025-08-03,16.6,9.5,13.0,7.1,0.0,16.3,10.5,15.0,9.4,,,,,2025-11-08
BUE,2025-08-04,14.2,7.2,10.7,7.0,0.0,16.3,10.3,14.7,9.2,,,,,2025-11-08
BUE,2025-08-05,10.6,6.9,8.8,3.7,0.0,16.0,10.2,14.5,9.0,,,,,2025-11-08
BUE,2025-08-06,14.7,8.1,11.4,6.6,0.0,15.8,10.0,14.8,9.3,,,,,2025-11-08
BUE,2025-08-07,12.4,6.9,9.6,5.5,0.2,15.2,9.3,14.7,9.2,,,,,2025-11-08
BUE,2025-08-08,12.5,4.3,8.4,8.2,0.0,14.2,7.7,14.6,8.7,,,,,2025-11-08
BUE,2025-08-09,13.1,3.5,8.3,9.6,0.0,13.4,6.6,14.6,8.5,,,,,2025-11-08
BUE,2025-08-10,15.7,6.4,11.0,9.3,0.0,13.3,6.2,14.8,8.3,,,,,2025-11-08
BUE,2025-08-11,18.5,7.4,13.0,11.1,0.0,13.9,6.2,15.1,8.3,,,,,2025-11-08
BUE,2025-08-12,20.4,9.8,15.1,10.6,0.0,15.3,6.6,15.7,8.4,,,,,2025-11-08
BUE,2025-08-13,16.7,10.4,13.6,6.3,0.0,15.6,7.0,15.7,8.5,,,,,2025-11-08
BUE,2025-08-14,11.5,4.7,8.1,6.8,0.0,15.5,6.6,15.3,8.0,,,,,2025-11-08
BUE,2025-08-15,9.9,6.3,8.1,3.6,0.0,15.1,6.9,14.7,7.3,,,,,2025-11-08
BUE,2025-08-16,12.3,8.3,10.3,4.0,0.6,15.0,7.6,14.2,7.1,,,,,2025-11-08
BUE,2025-08-17,14.6,10.9,12.8,3.7,0.2,14.8,8.3,14.1,7.2,,,,,2025-11-08
BUE,2025-08-18,15.5,12.1,13.8,3.4,0.7,14.4,8.9,14.2,7.6,,,,,2025-11-08
BUE,2025-08-19,15.3,13.7,14.5,1.6,73.0,13.7,9.5,14.5,8.1,,,,,2025-11-08
BUE,2025-08-20,17.3,12.1,14.7,5.2,15.3,13.8,9.7,14.7,8.3,,,,,2025-11-08
BUE,2025-08-21,18.0,9.2,13.6,8.8,0.0,14.7,10.4,15.1,8.5,,,,,2025-11-08
BUE,2025-08-22,19.0,13.0,16.0,6.0,0.2,16.0,11.3,15.6,9.1,,,,,2025-11-08
BUE,2025-08-23,14.0,8.4,11.2,5.6,0.0,16.2,11.3,15.6,9.5,,,,,2025-11-08
BUE,2025-08-24,16.9,5.6,11.2,11.3,0.0,16.6,10.6,15.7,9.4,,,,,2025-11-08
BUE,2025-08-25,19.2,9.1,14.2,10.1,0.0,17.1,10.2,15.8,9.5,,,,,2025-11-08
BUE,2025-08-26,18.8,11.3,15.0,7.5,0.0,17.6,9.8,15.6,9.6,,,,,2025-11-08
BUE,2025-08-27,19.4,11.9,15.6,7.5,0.0,17.9,9.8,15.8,9.8,,,,,2025-11-08
BUE,2025-08-28,19.4,12.4,15.9,7.0,0.0,18.1,10.2,16.4,10.3,,,,,2025-11-08
BUE,2025-08-29,20.1,14.0,17.0,6.1,0.0,18.3,10.4,17.1,10.9,,,,,2025-11-08
BUE,2025-08-30,21.3,14.7,18.0,6.6,0.0,19.3,11.3,17.8,11.3,,,,,2025-11-08
BUE,2025-08-31,19.1,14.1,16.6,5.0,10.3,19.6,12.5,18.1,11.5,,,,,2025-11-08
BUE,2025-09-01,19.3,11.1,15.2,8.2,21.1,19.6,12.8,18.4,11.5,,,,,2025-11-08
