city_code,month,avg_temp_min,avg_temp_max,avg_temp_avg,total_precip,run_date
BUE,2025-04,13.0,21.5,17.2,0.0,2025-11-08
BUE,2025-05,12.9,18.8,15.8,199.1,2025-11-08
BUE,2025-06,6.8,13.7,10.2,31.3,2025-11-08
BUE,2025-07,8.1,14.2,11.1,34.1,2025-11-08
BUE,2025-08,9.6,16.3,13.0,123.7,2025-11-08
BUE,2025-09,11.4,19.0,15.2,95.0,2025-11-08
BUE,2025-10,13.5,23.3,18.4,340.3,2025-11-08
BUE,2025-11,15.7,24.2,19.9,36.8,2025-11-08
MAD,2025-04,10.0,20.7,15.4,10.5,2025-11-08
MAD,2025-05,11.6,23.2,17.4,108.7,2025-11-08
MAD,2025-06,20.0,33.3,26.6,17.0,2025-11-08
MAD,2025-07,20.1,33.8,26.9,0.8,2025-11-08
MAD,2025-08,21.9,34.9,28.4,1.3,2025-11-08
MAD,2025-09,15.5,27.9,21.7,10.3,2025-11-08
MAD,2025-10,12.6,22.4,17.5,47.8,2025-11-08
MAD,2025-11,8.8,16.6,12.7,23.6,2025-11-08
MIA,2025-04,22.4,27.5,25.0,0.6,2025-11-08
MIA,2025-05,24.8,30.3,27.5,113.5,2025-11-08
MIA,2025-06,25.3,30.1,27.7,196.1,2025-11-08
MIA,2025-07,25.5,31.1,28.3,136.1,2025-11-08
MIA,2025-08,25.7,32.6,29.1,151.2,2025-11-08
MIA,2025-09,24.5,29.8,27.2,260.5,2025-11-08
MIA,2025-10,23.3,29.0,26.1,199.5,2025-11-08
MIA,2025-11,20.0,27.9,23.9,8.2,2025-11-08
SCL,2025-10,9.2,25.0,17.1,23.6,2025-11-08
SCL,2025-11,9.9,24.1,17.0,7.3,2025-11-08
